SOC (%), Capacity (mAh), Current (A), Voltage (V), Time
99.8815,0.0998815,0.0853125,4.19834,00:10:26
99.5864,0.0995864,0.212461,4.1942,00:10:26
99.2925,0.0992925,0.211641,4.19007,00:10:26
98.9985,0.0989985,0.211641,4.18595,00:10:26
98.7034,0.0987034,0.212461,4.18181,00:10:26
98.4084,0.0984084,0.212461,4.17767,00:10:27
98.1144,0.0981144,0.211641,4.17355,00:10:27
97.8205,0.0978205,0.211641,4.16944,00:10:27
97.5254,0.0975254,0.212461,4.1653,00:10:27
97.2314,0.0972314,0.211641,4.16119,00:10:27
96.9363,0.0969363,0.212461,4.15707,00:10:27
96.6424,0.0966424,0.211641,4.15297,00:10:27
96.3484,0.0963484,0.211641,4.14887,00:10:27
96.0534,0.0960534,0.212461,4.14476,00:10:27
95.7583,0.0957583,0.212461,4.14066,00:10:27
95.4632,0.0954632,0.212461,4.13656,00:10:27
95.1681,0.0951681,0.212461,4.13247,00:10:27
94.8741,0.0948741,0.211641,4.1284,00:10:27
94.5802,0.0945802,0.211641,4.12434,00:10:27
94.2862,0.0942862,0.211641,4.12028,00:10:27
93.9912,0.0939912,0.212461,4.11622,00:10:27
93.6961,0.0936961,0.212461,4.11216,00:10:27
93.4021,0.0934021,0.211641,4.10813,00:10:27
93.107,0.093107,0.212461,4.10409,00:10:27
92.812,0.0928119,0.212461,4.10006,00:10:27
92.5169,0.0925169,0.212461,4.09605,00:10:28
92.2218,0.0922218,0.212461,4.09204,00:10:28
91.9278,0.0919278,0.211641,4.08805,00:10:28
91.6339,0.0916339,0.211641,4.08408,00:10:28
91.3399,0.0913399,0.211641,4.08012,00:10:28
91.0448,0.0910448,0.212461,4.07615,00:10:28
90.7509,0.0907509,0.211641,4.07222,00:10:28
90.4569,0.0904569,0.211641,4.06829,00:10:28
90.1619,0.0901619,0.212461,4.06437,00:10:28
89.8679,0.0898679,0.211641,4.06047,00:10:28
89.574,0.089574,0.211641,4.05659,00:10:28
89.2789,0.0892789,0.212461,4.0527,00:10:28
88.9849,0.0889849,0.211641,4.04884,00:10:28
88.6887,0.0886887,0.213281,4.04497,00:10:28
88.3936,0.0883936,0.212461,4.04113,00:10:28
88.0985,0.0880985,0.212461,4.0373,00:10:28
87.8034,0.0878034,0.212461,4.03349,00:10:28
87.5084,0.0875084,0.212461,4.0297,00:10:28
87.2133,0.0872133,0.212461,4.02593,00:10:28
86.9182,0.0869182,0.212461,4.02217,00:10:28
86.6231,0.0866231,0.212461,4.01843,00:10:29
86.328,0.086328,0.212461,4.01471,00:10:29
86.0329,0.0860329,0.212461,4.011,00:10:29
85.7378,0.0857378,0.212461,4.00732,00:10:29
85.4427,0.0854427,0.212461,4.00365,00:10:29
85.1477,0.0851476,0.212461,4.00001,00:10:29
84.8526,0.0848526,0.212461,3.99638,00:10:29
84.5575,0.0845575,0.212461,3.99277,00:10:29
84.2624,0.0842624,0.212461,3.98919,00:10:29
83.9673,0.0839673,0.212461,3.98563,00:10:29
83.6722,0.0836722,0.212461,3.98209,00:10:29
83.3771,0.0833771,0.212461,3.97857,00:10:29
83.0809,0.0830809,0.213281,3.97506,00:10:29
82.7858,0.0827858,0.212461,3.97159,00:10:29
82.4896,0.0824896,0.213281,3.96812,00:10:29
82.1945,0.0821945,0.212461,3.9647,00:10:29
81.8994,0.0818994,0.212461,3.96129,00:10:29
81.6043,0.0816043,0.212461,3.95792,00:10:29
81.3092,0.0813092,0.212461,3.95457,00:10:29
81.0141,0.0810141,0.212461,3.95124,00:10:29
80.7191,0.0807191,0.212461,3.94794,00:10:30
80.424,0.080424,0.212461,3.94466,00:10:30
80.1289,0.0801289,0.212461,3.94141,00:10:30
79.8338,0.0798338,0.212461,3.93819,00:10:30
79.5387,0.0795387,0.212461,3.935,00:10:30
79.2436,0.0792436,0.212461,3.93183,00:10:30
78.9485,0.0789485,0.212461,3.92871,00:10:30
78.6534,0.0786534,0.212461,3.92562,00:10:30
78.3584,0.0783584,0.212461,3.92256,00:10:30
78.0633,0.0780633,0.212461,3.91956,00:10:30
77.7693,0.0777693,0.211641,3.91661,00:10:30
