SOC (%), Capacity (mAh), Current (A), Voltage (V), Time
99.7061,0.0997061,0.211641,4.19588,01:34:33
99.4121,0.0994121,0.211641,4.19175,01:34:33
99.1182,0.0991182,0.211641,4.18763,01:34:33
98.8242,0.0988242,0.211641,4.1835,01:34:33
98.5303,0.0985303,0.211641,4.17938,01:34:33
98.2363,0.0982363,0.211641,4.17526,01:34:33
97.9424,0.0979424,0.211641,4.17114,01:34:34
97.6484,0.0976484,0.211641,4.16703,01:34:34
97.3545,0.0973545,0.211641,4.16291,01:34:34
97.0605,0.0970605,0.211641,4.15881,01:34:34
96.7666,0.0967666,0.211641,4.1547,01:34:34
96.4726,0.0964726,0.211641,4.1506,01:34:34
96.1787,0.0961787,0.211641,4.14651,01:34:34
95.8847,0.0958847,0.211641,4.14242,01:34:34
95.5919,0.0955919,0.21082,4.13835,01:34:34
95.2968,0.0952968,0.212461,4.13425,01:34:34
95.0029,0.0950029,0.211641,4.13018,01:34:34
94.7089,0.0947089,0.211641,4.12611,01:34:34
94.4161,0.0944161,0.21082,4.12207,01:34:34
94.1233,0.0941233,0.21082,4.11804,01:34:34
93.8294,0.0938294,0.211641,4.11399,01:34:34
93.5366,0.0935366,0.21082,4.10997,01:34:34
93.2426,0.0932426,0.211641,4.10595,01:34:34
92.9498,0.0929498,0.21082,4.10194,01:34:34
92.657,0.092657,0.21082,4.09795,01:34:34
92.3631,0.0923631,0.211641,4.09395,01:34:34
92.0703,0.0920703,0.21082,4.08998,01:34:35
91.7763,0.0917763,0.211641,4.086,01:34:35
91.4824,0.0914824,0.211641,4.08204,01:34:35
91.1884,0.0911884,0.211641,4.07808,01:34:35
90.8945,0.0908945,0.211641,4.07414,01:34:35
90.6005,0.0906005,0.211641,4.07021,01:34:35
90.3066,0.0903066,0.211641,4.06629,01:34:35
90.0126,0.0900126,0.211641,4.06239,01:34:35
89.7187,0.0897187,0.211641,4.0585,01:34:35
89.4247,0.0894247,0.211641,4.05462,01:34:35
89.1319,0.0891319,0.21082,4.05077,01:34:35
88.838,0.088838,0.211641,4.04692,01:34:35
88.544,0.088544,0.211641,4.04308,01:34:35
88.2501,0.0882501,0.211641,4.03927,01:34:35
87.9561,0.0879561,0.211641,4.03546,01:34:35
87.6622,0.0876622,0.211641,4.03168,01:34:35
87.3682,0.0873682,0.211641,4.02791,01:34:35
